desc,id,label,syn,syn_typ,syn_typ_id
A gamma-delta T cell that has an immature phenotype.,CL:0000799,immature gamma-delta T cell,immature gamma-delta T-cell,exact,4
A gamma-delta T cell that has an immature phenotype.,CL:0000799,immature gamma-delta T cell,immature gamma-delta T lymphocyte,exact,4
A gamma-delta T cell that has an immature phenotype.,CL:0000799,immature gamma-delta T cell,immature gamma-delta T cell,label,5
"A double negative thymocyte that has a T cell receptor consisting of a gamma chain that has as part a Vgamma3 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive. This cell-type is found in the fetal thymus with highest numbers occurring at E17-E18.",CL:0002218,immature dendritic epithelial T cell precursor,immature dendritic epithelial T cell precursor,label,5
An alpha-beta T cell that has an immature phenotype and has not completed T cell selection.,CL:0000790,immature alpha-beta T cell,immature alpha-beta T-lymphocyte,exact,4
An alpha-beta T cell that has an immature phenotype and has not completed T cell selection.,CL:0000790,immature alpha-beta T cell,immature alpha-beta T-cell,exact,4
An alpha-beta T cell that has an immature phenotype and has not completed T cell selection.,CL:0000790,immature alpha-beta T cell,immature alpha-beta T lymphocyte,exact,4
An alpha-beta T cell that has an immature phenotype and has not completed T cell selection.,CL:0000790,immature alpha-beta T cell,immature alpha-beta T cell,label,5
"A double negative post-natal thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive.",CL:0002406,immature Vgamma2-positive thymocyte,immature Vgamma2-positive thymocyte,label,5
"A double negative thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive and is found in the fetal thymus.",CL:0002378,immature Vgamma2-positive fetal thymocyte,immature Vgamma2-positive fetal thymocyte,label,5
